,dml_ate,dml_se,ivforest_ate,ivforest_se,tsls_ate,tsls_se,true_ate
1,24751.07,2087.109,31863.59,2091.206,24893.82,5941.462,42276.23
2,27129.01,2097.713,33559.05,2143.053,22161.6,6425.222,42306.4
3,28817.44,1976.707,32820.36,2112.102,21884.51,5806.496,42275.04
4,32788.68,2054.857,44264.31,2164.253,37777.48,6184.246,42087.84
5,34588.81,2018.26,41440.47,2083.025,35313.72,5632.981,42329.01
6,26207.36,2067.877,30449.62,2239.883,18185.14,6532.091,42190.6
7,26607.25,2168.185,34222.94,2179.919,18146.43,6659.401,42169.15
8,21975.42,1988.406,22508.3,2238.642,11978.56,6168.305,42274.9
9,27268.59,1977.697,10372.8,9501.911,14674.74,6271.303,42451.89
10,25894.97,1978.57,33298.31,2078.821,21977.48,6194.194,42324.3
11,31934.81,1976.113,42918.14,2157.14,31800.43,5938.85,42400.15
12,31851.93,2054.523,40160.42,2138.176,31493.66,5886.531,42249.61
13,34432.66,2084.453,43800.8,2177.322,34537.17,6111.252,42130.51
14,35491.54,2037.129,42425.86,2003.992,30350.2,5968.291,42157.73
15,28488.83,1935.558,32241.3,1974.455,19451.19,5575.161,42333.88
16,28105.83,2050.275,31668.63,2072.372,24719.5,5824.718,42476.7
17,28480.35,1987.173,38784.18,2015.215,27737.37,5732.939,42112.54
18,30696.16,1970.131,33514.62,2525.748,22216.71,5893.27,42209.07
19,31551.33,2044.285,32415.8,2147.646,25367.71,6098.134,42175.93
20,31712.32,2056.479,44919.47,2412.876,32104.85,6761.384,42268.42
21,26119.83,1956.689,28796.25,2205.724,16810.31,6022.135,42312.51
22,37195.48,2117.44,50306.15,2341.978,41565.37,6628.409,42373.87
23,35296.23,2107.256,48683.76,2246.823,32646.41,6206.409,42279.62
24,31170.7,2140.376,36356.65,2222.546,29148.67,6707.074,42517.78
25,29703.31,2146.238,34165.95,2443.02,17498.61,6659.49,42327.56
26,26181.82,2021.055,29045.35,5440.196,14621.34,6229.834,42127.83
27,30960.84,2051.014,44535.94,2066.015,31050.94,5746.226,42222.04
28,30961.41,1933.826,38834.7,1965.224,30092.46,5868.787,42160.43
29,28810.14,2049.164,30855.02,2069.048,21492.66,6107.425,42203.78
30,33795.47,2068.149,-38079.48,71888.91,31160.59,6679.65,42292.27
31,31090.77,2113.235,37602.57,2357.734,26875.05,6359.788,42275.94
32,32752.21,1999.455,37009.58,2061.828,29544.76,5984.619,42322.94
33,31004.98,2051.26,36139.63,9009.4,29498.89,6201.121,42149.24
34,36613.69,2054.07,44771.64,2126.745,29928.82,6167.707,42271.81
35,34944.08,2050.287,33717.41,6824.179,36977.36,6072.866,42312.88
36,30036.95,2039.255,36740.94,2090.762,24860.78,5876.161,42366.66
37,28311.26,2024.238,29328.28,1956.917,25504.46,5677.723,42191.26
38,30546.85,2020.481,39339.18,2135.352,27626.65,6268.96,42253.65
39,31308.37,2082.587,39408.39,2092.466,29050.55,6008.365,42230.91
40,33018.72,2106.667,37630.15,2177.865,30728.85,6398.143,42137.87
41,31684.77,2124.111,41068.52,2726.282,28102.13,6807.345,42266.59
42,27791.48,2164.249,30667.44,2265.074,19975.99,6821.922,42369.14
43,33596.41,2014.768,42703.94,2145.052,31461.63,6106.159,42269.5
44,36276.84,2105.985,42271.55,2056.95,35077.72,6148.322,42267.9
45,35234.27,2071.453,45224.11,2164,32124.21,6107.934,42262.46
46,31412.14,2122.46,34170.49,2230.842,26693.7,6154.768,42206.63
47,28890,2086.638,37211.4,2034.872,23894.93,6243.651,42149.68
48,32402.71,2017.064,37046.97,2004.111,25274.46,5989.534,42275.48
49,29758.44,2064.931,41109.05,2265.81,34402.56,6193.748,42341.37
50,26762.45,2081.775,28891.6,2140.041,17366.54,6149.89,42278.99
