"","dml_ate","dml_se","ivforest_ate","ivforest_se","tsls_ate","tsls_se","true_ate"
"1",19950.1714194862,2002.1871021677,25739.647834646,1969.83446563924,20097.4519399976,5729.0254853742,36327.742815215
"2",22317.4636200081,2012.64747212188,26802.243069762,2025.33156825897,17504.3623111129,6196.11547371478,36355.3667174636
"3",24181.0903914244,1894.55101126296,27527.791773341,1994.81596621616,17217.7485602975,5600.55488834364,36325.9753993003
"4",27806.1062381924,1971.07757263375,38273.1134346605,2046.95791060905,32872.9906170112,5964.59626878161,36165.1463919136
"5",29590.0012080057,1935.94556149603,35248.2020700663,1967.3402525853,30179.4372781648,5430.51332330205,36374.4300396351
"6",21316.6901846033,1985.80436247982,22897.1371362456,2113.26962901613,13387.381594028,6299.02108401081,36255.8431789718
"7",21707.9814336911,2081.84772326599,28455.2522235691,2062.79296062997,13094.9964339308,6427.06387431899,36232.7463316862
"8",17170.7915215861,1906.66724883577,16964.1537350998,2108.8804842473,7942.41398223419,5946.74808698122,36327.0966056194
"9",22644.1400431261,1895.93132443114,18415.9223843954,2469.68831508891,11009.218227242,6039.56844741616,36480.3068588331
"10",20954.510554431,1895.25356916663,27619.5610967212,1950.20375913217,17502.8666108202,5969.37815660078,36367.8596911849
"11",26769.9855311392,1893.02945157429,36172.4118405575,2052.73319139962,26513.1692760481,5724.01432550246,36435.5602861776
"12",26909.6095653399,1973.91350406601,33427.988800866,2024.22845042977,26005.7742145907,5673.18193069748,36304.8328748813
"13",29427.9761770024,1999.7911235755,37099.2994223301,2048.11351471496,29459.950856606,5891.94581077317,36200.5042636563
"14",29974.8713335655,1954.78003567752,35233.3639911755,1899.99351880876,24989.1544056527,5752.38406711339,36226.4960875567
"15",23852.0363171318,1855.74203961623,26439.6401617291,1855.88648097553,15254.1815176442,5375.51415424649,36376.430391069
"16",23098.1094446156,1966.7711526515,25725.9221634692,1954.11704537671,19750.9444437225,5617.26827920425,36500.2091405378
"17",23819.53766889,1905.27030021708,32651.1937184461,1911.19204771535,22869.6776083857,5526.79815261017,36187.8042454277
"18",25642.3509959624,1892.36826794916,25126.5762702043,3753.39958791886,17338.3746877778,5685.81028677323,36268.518236922
"19",26250.1870591844,1959.79094246432,26895.0200755604,2026.84023833935,20483.7883537724,5880.20443017247,36240.8545228991
"20",26555.7290145328,1970.58786970565,39046.672961381,2313.19607420997,27294.2422954678,6518.35311783857,36321.6311592923
"21",20972.6959632438,1873.92383041351,22691.7459895541,2084.37918054685,12022.7386288487,5807.69124348712,36359.3351639163
"22",31912.5305261343,2029.93958049833,45533.2804953804,2215.30227378371,36490.8906941922,6390.69161083443,36410.4726195443
"23",30084.7109634535,2021.50194185061,42166.9884444882,2119.42228282028,27717.0202127493,5984.78945436317,36330.4429666044
